composition,Mean VEC,Atomic_Radius_Difference,Calculated_Youngs_Modulus,Mixing_Enthalpy,Mixing_Entropy,Work_Function,Shear_Modulus_G,MOd_Missmatch,shear_modulus_difference,melting_Temp,cohesive_enrg,Ionization_enrg,Pauling_electronegativity
Al1 Co1 Ni1 Re1,8.25,11,235.5,-11.5,11.526,1.65,88.825,-0.164,0.387,1972.118,5.023,7.347,0.031
Fe1.43 Pd1.9,9.141,7.417,159.649,-3.92,5.68,0.999,60.318,-0.041,0.097,1820.728,4.057,8.15,0.067
Cr0.66 Cu0.78 V1.05,7.145,3.47,168.651,5.733,8.976,0.937,69.648,-0.066,0.156,1923.699,4.419,7.059,0.029
B1.55 Co2.0 Fe1.08 Mo1.05 Ti0.12 V1.99,6.164,36.705,251.28,-26.972,13.529,1.467,95.863,-0.081,0.189,2150.285,5.211,7.555,0.067
Ni0.33 Ta0.56,9.371,13.843,191.191,-27.063,5.482,1.418,71.596,-0.001,0.002,2710.831,6.743,7.797,0.078
Al0.58 Fe1.82 Li0.21 Mn1.34 Mo0.37 Ti0.91 V0.69 Zr1.4,5.574,23.18,155.664,-14.551,15.869,1.538,52.219,-0.12,0.259,1815.773,4.609,7.067,0.11
Ni1.96 Ti0.81,8.245,16.274,175.437,-28.967,5.024,1.707,66.643,-0.024,0.048,1790.285,4.56,7.403,0.057
Fe1.48 Pd1.81 Sc1.22 Zn1.57,8.625,22.84,130.12,-39.01,11.445,1.768,49.982,-0.065,0.145,1527.901,3.205,8.148,0.185
Al1 Cr1 Fe1 Nb1 Ta1 V1,6,15,163.167,-14.556,14.897,1.462,64.55,-0.095,0.204,2191.245,5.453,7.008,0.02
Au1.07 Co1.05 Fe0.67 Mo0.12 Ni0.41 Ta0.97,7.858,11.061,173.935,-14.095,13.647,1.17,64.119,-0.06,0.129,2039.164,5.137,8.177,0.275
Al0.23 Cr0.96 Mo0.95 Ti1.2 V0.45,5.066,18.879,209.311,-7.743,12.32,1.83,81.504,-0.1,0.204,2208.509,5.118,6.82,0.122
Cr1.28 Cu0.74 Fe0.6 Mo2.0 Ti1.62,6.266,10.734,228.5,-1.304,12.619,1.64,87.087,-0.077,0.154,2214.45,5.111,7.112,0.126
Cr1 Fe1 Mo1 Ni1 V1 Zr1,6.5,24.833,206.833,-15.778,14.897,1.152,80.5,-0.072,0.144,2154.333,5.247,7.131,0.133
Al1.18 Co0.95 Fe0.23 Mo1.81 Ni0.2 W0.31,6.387,11.583,233.457,-9.797,12.48,1.701,86.208,-0.114,0.235,2121.888,5.366,7.09,0.118
Au1 Be1 Co1 Cu1 Fe1 Ti1,6.5,24.167,171.833,-12.778,14.897,1.518,68.05,-0.111,0.251,1629.183,4.028,8.147,0.217
Co1.16 Fe1.55 Mn1.68,7.882,1.118,205.497,-2.396,9.036,1.045,62.164,-0.052,0.12,1687.893,3.789,7.717,0.044
Al1.42 Co1.53 Fe1.02 Mo1.08 Nb1.74 Sn1.34,5.748,25.645,152.449,-10.793,14.756,1.973,56.036,-0.162,0.369,1779.493,4.994,7.12,0.075
Al1 Co1 N1 Nb1 Ti1 Zr1,5,61.833,149,-107,14.897,2.455,42.717,-0.056,0.131,1597.27,5.265,8.104,0.634
Fe0.8 Mn0.11 Mo1.37 Si1.86 Ta1.8,6.571,19.38,197.833,-42.413,11.703,2.373,74.995,-0.059,0.135,2465.19,6.108,7.782,0.122
C1 Cr1 Fe1 Ni1 Si1 Ti1 V1 Y1,5.5,57.25,269.375,-55.188,17.288,2.171,79,-0.113,0.276,2155.5,4.93,7.689,0.259
Au1 Ba1 Cu1 Fe1 Mo1,6.4,95,152.2,11.68,13.381,1.294,56.46,-0.244,0.519,1680.42,3.962,7.433,0.598
Co0.36 Cr1.18 Cu1.43 Hf1.66 Mo1.75 Zn0.55 Zr0.5,7.864,20.031,203.439,-5.502,15.013,1.36,71.564,-0.138,0.294,2129.667,5.026,7.282,0.207
Al1 Cr1 Cu1 Ta1 V1,6.8,15.2,158.6,-5.92,13.381,1.48,63.12,-0.096,0.218,1988.848,4.872,7.023,0.035
Al0.34 Au0.77 Cr0.17 Mn0.43 Ni0.12,5.519,14.377,131.383,-16.026,11.778,1.388,40.138,-0.133,0.447,1408.882,3.581,7.871,0.419
Cu1 Hf1 Mo1 Ni1 V1,8,22.2,186.2,-9.92,13.381,1.242,66.26,-0.094,0.214,2134.154,5.216,7.207,0.171
Cr1.17 Fe0.58,6.663,1.337,256.463,-0.886,5.281,0.963,104.063,-0.011,0.022,2057.703,4.16,7.143,0.013
Al0.28 Co1.72 Cr0.14 Mo1.61 Ni1.17 Ti0.31,7.602,16.904,232.847,-11.797,12.342,1.392,85.702,-0.057,0.1,2082.899,5.114,7.393,0.067
Fe1 Hf1 Mn1 Ta1 V1 W1,7.833,20.5,213,-7.556,14.897,1.293,72.333,-0.145,0.363,2500.667,5.922,7.444,0.227
Al0.69 Ni0.16,4.318,4.871,94.471,-13.447,4.021,2.662,35.655,-0.091,0.297,1083.029,3.563,6.297,0.028
Ag1 Fe1 Li1 V1,6.25,13.25,108.25,21.25,11.526,0.995,43.3,-0.219,0.452,1420.645,3.542,6.904,0.273
C1 Co1 Cr1 Cu1 Mo1 Ni1 Ta1,7.857,52.857,340.429,-31.673,16.178,1.57,96.186,-0.072,0.158,2447.824,5.53,8.038,0.2
Al1.16 Au0.59 Co1.32 Mn0.24 Ni1.9 Sn2.0 Ti1.03 Zr0.56,6.062,23.599,125.311,-26.568,16.006,2.249,45.232,-0.133,0.287,1369.823,4.091,7.333,0.147
Al1 Ba1 Cr1 Fe1 Mn1 W1,6,104.5,197,15.111,14.897,1.582,70.717,-0.278,0.593,1856.412,4.163,6.861,0.375
Co0.71 Cr1.61 Cu0.79 Mn0.64 Mo1.81 Ni0.62 Ti0.53 Zr1.86,6.516,22.169,208.029,-12.55,16.263,1.317,75.61,-0.116,0.237,2113.163,5.153,7.106,0.172
Al1 Au1 Co1 Si1 Ti1 V1,5,18.833,118,-43.444,14.897,2.248,46.05,-0.063,0.135,1641.633,4.39,7.47,0.227
Al1.71 Co0.83 Fe1.72 Ni0.52 Re0.19 Ti1.35,6.179,18.644,158.965,-25.596,13.428,2.02,60.285,-0.101,0.265,1638.404,4.289,7.129,0.042
Cr1 Cu1 Fe1 Mo1 Ni1 Ti1,7.5,15,210.833,-4.778,14.897,1.425,80.883,-0.063,0.131,1985.628,4.663,7.327,0.078
Al0.77 Au1.06 Cu1.29 Fe1.04 Mo1.06 Nb1.28 Ni1.65,7.286,14.329,164.032,-9.793,15.98,1.33,61.067,-0.114,0.249,1866.536,4.885,7.528,0.167
Al1 Fe1 Hf1 Mn1 Ni1 Si1 W1 Zr1,6.75,27,179.375,-40.875,17.288,1.934,61.288,-0.18,0.482,2000.934,5.135,7.304,0.215
Cr1.77 Cu1.41 Fe1.21 Nb0.78 Ni1.43,8.183,17.106,197.021,-1.658,13.115,1.06,77.15,-0.063,0.126,1906.122,4.486,7.368,0.03
Ag0.51 Al1.06 Mn1.83 Mo1.69 Nb0.84,6.061,15.051,189.39,-1.402,12.606,1.532,57.664,-0.193,0.47,1956.712,4.771,6.996,0.138
Cr1.43 Mn0.21 Nb0.47 Ni0.39 V1.71,5.903,13.974,186.884,-7.361,11.203,0.985,75.242,-0.079,0.16,2170.01,4.951,6.872,0.014
Al0.5 Nb1.81 Re0.72 Ti1.5 V0.77,5.343,22.675,156.787,-16.312,12.457,1.913,60.374,-0.183,0.614,2363.608,6.12,6.856,0.025
Ag0.25 Ba1.16 Fe0.39 Ni0.85 Ti0.64 V0.68 W1.33,6.783,91.804,187.93,26.539,15.196,1.595,73.76,-0.268,0.585,2129.217,4.977,6.968,0.534
Al1 Co1 Pd1,7.333,11.667,133.333,-29.333,9.134,1.667,48.433,-0.077,0.173,1509.84,3.88,7.401,0.116
Mo1 Nb1 Pd1 Ta1,7.5,3.5,185.25,-32.75,11.526,1.31,67.75,-0.098,0.228,2691.012,6.595,7.521,0.201
Co1 Cr1 Cu1 Fe1 Nb1,7.8,15.4,186.8,-3.2,13.381,1.064,71.66,-0.066,0.143,1973.354,4.766,7.407,0.029
Ni1 Si1 Ti1 Zr1,5.5,24.5,129.25,-68.5,11.526,2.55,50,-0.046,0.101,1871,5.112,7.313,0.121
Al1 Au1 Co1 Mo1 Nb1 Ni1 Ti1 W1,6.5,17.25,189.75,-20.25,17.288,1.671,70.912,-0.174,0.405,2131.1,5.516,7.41,0.243
C1 Fe1 Ni1 Ti1,6.5,46.75,394.25,-63,11.526,2.29,93,-0.108,0.253,2348.75,5.235,8.408,0.272
Al1.37 Cr1.39 Mo0.97 Ni0.44 Re0.97 Ta1.9 W0.62,7.394,15.869,254.33,-15.492,15.417,1.63,97.82,-0.119,0.251,2581.674,6.193,7.228,0.151
Al1.72 Co1.98 Cr0.85 Cu1.05 Fe1.62 Ta0.97 Ti0.49,7.29,18.955,171.308,-13.587,15.476,1.585,64.923,-0.077,0.161,1781.23,4.469,7.323,0.043
Cu1.0 Mn1.51 Mo0.54 Ni1.61,8.779,11.431,199.279,0.236,10.911,1.117,61.869,-0.077,0.192,1716.176,4.019,7.529,0.082
Ba1 Li1 Mo1 Ni1 Si1,4.6,97.2,132,-6.56,13.381,2.024,50.44,-0.357,0.763,1552.93,3.788,6.699,0.553
Cr0.55 Mo0.63 Ni1.42 Pd0.92 Sc0.14 Ti1.21,7.339,25.967,186.193,-31.141,13.577,1.656,70.749,-0.08,0.181,2004.439,4.674,7.37,0.143
Au1 Cr1 Cu1 Fe1 Mn1 Ti1 W1 Zn1,7.875,12.875,191.375,-2.938,17.288,1.44,69.412,-0.164,0.399,1816.722,4.211,7.893,0.249
Hf0.33 Ni0.52 Si0.65 Ta1.9 Ti1.96 V1.69,6.217,28.16,144.418,-26.454,13.361,2.066,55.835,-0.025,0.05,2349.889,5.84,7.276,0.047
Au0.64 Co1.06 Ta1.22 W0.89,8.562,13.186,226.816,-14.6,11.306,1.291,85.105,-0.125,0.279,2633.155,6.532,8.106,0.326
Al0.31 Cr1.51 Cu0.93 Mo1.8 Ni0.88 V1.5 W1.58,7.417,14.649,255.402,0.896,15.391,1.22,99.822,-0.088,0.17,2431.251,5.721,7.204,0.156
C1 Co1 Cu1 Ni1 Re1,9,46.8,410.4,-19.84,13.381,1.702,109.46,-0.112,0.241,2445.554,5.518,8.477,0.136
Al1.15 Co0.49 Cr0.82 Fe1.78 Pd0.88 Ti1.73,6.239,15.201,159.771,-30.29,14.165,1.851,61.62,-0.094,0.208,1739.796,4.206,7.228,0.089
Nb1.87 Ni1.69,7.374,11.556,150.098,-29.923,5.752,1.244,56.039,-0.049,0.115,2264.837,6.084,7.177,0.048
Cr1 Fe1 Ni1 Sn1 Ta1,7.4,24.8,185.2,-7.52,13.381,1.734,72,-0.098,0.189,1902.816,4.812,7.509,0.058
Al1 B1 Cr1 Fe1 Nb1 Ni1 Re1,6.571,38.429,254,-26.204,16.178,1.691,97.9,-0.155,0.318,2172.924,5.34,7.319,0.05
Hf1.43 Zr1.74,5.804,0.549,116.555,0,5.723,1.612,31.647,-0.001,0.002,2298.517,6.3,6.72,0
Pd1 V1,7.5,2.5,124.5,-35,5.763,0.93,50.5,-0.008,0.017,2005.525,4.6,7.542,0.162
Co1 Cr1 Mo1 Ni1 Pd1 Ta1,8.333,12.5,220.667,-19,14.897,1.172,83.167,-0.049,0.102,2281.675,5.29,7.602,0.125
Al1 Au1 C1 Mn1 Ti1,4.6,51.2,302.4,-58.88,13.381,2.402,60.46,-0.277,0.832,1929.16,4.46,8.147,0.461
Al1.02 Co1.38 Cr1.12 Fe1.66 Ni1.0,7.359,6.495,197.825,-10.549,13.215,1.363,76.253,-0.063,0.119,1710.006,4.146,7.333,0.026
Cu1.84 Fe0.43 Ni1.16 Ti0.48,9.514,18.074,157.957,-3.433,10.105,1.302,59.696,-0.028,0.063,1589.05,4.026,7.61,0.028
Al1.61 Co0.55 Cu1.75 Mo0.69 Nb1.21,6.75,16,139.279,-5.775,12.637,1.673,51.101,-0.113,0.316,1751.656,4.784,6.983,0.074
Ti1.06 V0.63,4.373,8.154,120.473,-1.871,5.491,2.236,48.846,-0.008,0.017,2031.213,5.021,6.797,0.004
Co1 Cr1 Cu1 Fe1 Nb1 Sc1,7,26.167,168,-7.333,14.897,1.468,64.55,-0.096,0.208,1946.795,4.517,7.266,0.072
Au1 Co1 Mo1 Ti1,6,13.75,183,-18.5,11.526,1.612,66.5,-0.125,0.283,1985.582,4.965,7.758,0.27
Ag1 Ba1 Cu1 Nb1 Ni1 Sc1 Y1,6.429,90.714,95.571,-1.796,16.178,1.697,38.186,-0.137,0.274,1669.1,3.943,6.813,0.28
Al0.85 Co1.04 Cu0.99 Nb1.67 Ni1.74,7.719,16.175,147.68,-19.037,13.025,1.406,54.67,-0.064,0.128,1840.315,4.967,7.236,0.042
Al1 Co1 Cr1 Ni1 Sc1 Si1 Ti1,5.571,31.286,150.714,-43.592,16.178,2.451,58.9,-0.111,0.248,1721.639,4.149,7.116,0.076
Co1 Cu1 Hf1 Pd1 Y1,8.2,32.2,133.6,-41.28,13.381,1.324,47.66,-0.044,0.098,1851.764,4.45,7.397,0.285
Co1 Fe1 Mo1 Ti1,6.75,12.75,216.25,-14.25,11.526,1.625,80.25,-0.053,0.114,2104,5.085,7.428,0.097
Cr1.47 Mg1.67 Nb0.66 Ti1.98 V1.31,4.221,12.094,134.265,12.967,12.937,1.8,54.205,-0.16,0.39,1870.793,4.246,6.986,0.034
Cr0.55 Cu1.94 Mn0.62 Ti1.66,7.468,12.518,151.147,-4.45,10.372,1.704,52.766,-0.066,0.188,1676.502,3.96,7.265,0.057
Co1.43 Cu1.61 Fe1.55 Mn1.09 Mo1.59 Ni0.76,8.437,10.257,214.963,4.449,14.648,1.114,74.573,-0.066,0.139,1879.817,4.475,7.616,0.062
Co1.47 Cr1.46 Fe0.41 Pd1.71 V0.36,8.165,8.091,194.837,-11.424,12.034,0.971,75.329,-0.06,0.134,1929.042,4.207,7.651,0.099
Al0.44 W1.69,8.554,16.662,340.559,-1.311,4.235,1.756,133.175,-0.104,0.168,3124.543,7.756,7.476,0.184
Co1.79 Cr1.21 Fe1.32 Nb0.69 Ni1.83,8.14,18.425,208.87,-10.442,12.96,1.078,79.962,-0.033,0.064,1937.541,4.652,7.51,0.025
Al1 Co1 Cr1 Hf1 Nb1 Pd1 Zn1,7.571,23.429,148,-33.796,16.178,1.577,53.043,-0.122,0.303,1808.314,4.383,7.421,0.133
Al0.67 Cu0.86 Hf0.6 Mo0.8 Ti1.01 V0.34,6.264,21.203,156.304,-11.176,14.496,1.965,55.369,-0.134,0.341,1943.023,4.912,6.92,0.155
Al1 Mn1 Si1 Zr1,4.5,31,117.25,-56.5,11.526,2.517,35.325,-0.021,0.045,1566.868,4.36,7.051,0.083
Fe1 Mo1 Pd1 Zr1,7,19,188.75,-35.75,11.526,1.222,69.75,-0.108,0.241,2165.762,5.38,7.493,0.243
Cu1 Fe1 Ti1 V1 Zn1,8,13.2,138.6,-4.64,13.381,1.604,54.86,-0.032,0.069,1597.09,3.856,7.719,0.036
Be1 Co1 Ni1 Ta1,7.5,21,220.5,-21.25,11.526,1.44,88,-0.039,0.084,2086.5,5.072,8.183,0.066
Al1 Co1 Cr1 Mn1 Nb1 Ti1,5.667,15.167,162.833,-20,14.897,1.727,55.55,-0.126,0.304,1848.578,4.532,6.942,0.026
Al1.36 Co0.45 Mo0.7 Ni1.93 Zr1.93,6.177,24.655,154.94,-42.082,12.331,1.671,57.125,-0.12,0.289,1810.738,5.101,6.94,0.164
Al1.43 Cr1.08 Cu1.61 Ni1.09 Si0.82,7.075,11.594,151.983,-16.312,13.156,1.97,59.859,-0.108,0.256,1516.108,3.895,7.184,0.036
Fe1.08 Ni0.8 Sn0.27 Ti1.67,6.387,24.694,155.785,-23.649,10.256,2.145,59.607,-0.062,0.12,1758.147,4.482,7.338,0.058
Cr1 Mo1 Nb1 Ni1 Ti1 V1,6,12.333,192.833,-13.778,14.897,1.453,75,-0.087,0.186,2279.667,5.515,6.973,0.094
Ag0.86 Al1.29 Cr0.85 Cu1.42 Fe0.15 Sn0.51 Ti1.17 V1.5,6.383,27.55,124.942,-3.755,16.249,1.81,49.616,-0.114,0.286,1564.124,4.025,6.968,0.047
Co0.87 Cu1.25 Mo1.21 Ni0.77 W1.65,9.224,8.482,273.838,8.161,13.077,1.231,103.477,-0.086,0.177,2463.799,6.007,7.646,0.082
Al1.98 Co0.25 Cu0.32 Fe1.88 Mo1.41 Nb1.75 V1.84 W0.64,5.915,14.05,176.299,-11.527,15.793,1.525,67.93,-0.134,0.325,2125.801,5.486,6.994,0.116
Al1.77 Fe0.83 Mn0.84 Pd1.37,6.555,12.067,131.21,-32.325,11.087,1.746,42.472,-0.078,0.209,1441.946,3.593,7.239,0.14
Nb1 Ni1 Pd1 Ti1 V1,6.8,14,134,-37.92,13.381,1.474,51.8,-0.032,0.069,2086.01,5.212,7.262,0.122
Al0.44 Co0.28 Fe1.79 Mo1.04 Ti1.54 Zr0.67,5.771,22.743,182.429,-19.226,13.458,1.841,68.407,-0.1,0.21,2009.409,5.088,7.175,0.134
B1 Co1 Fe1 Hf1 W1,7.6,41.8,285,-33.76,13.381,1.65,103.6,-0.13,0.268,2425.8,5.864,7.754,0.238
Al1 Cu1 Fe1 Mo1 Ta1 W1,7.833,14.667,222.833,-1.222,14.897,1.575,84.433,-0.13,0.282,2330.54,5.825,7.411,0.176
Al0.23 Cr1.91 Ni0.2 Ti0.39 Y0.11,5.648,46.546,225.799,-8.631,8.778,1.433,92.454,-0.086,0.133,1999.64,4.181,6.752,0.027
Co0.18 Cu0.65 Fe0.32 Mn1.91 Nb1.21,7.201,13.623,162.733,-2.617,11.069,1.118,43.083,-0.038,0.106,1875.668,4.488,7.341,0.039
B1 Co1 V1,5.667,29.667,262.333,-35.556,9.134,1.637,100.667,-0.105,0.243,2100,5.143,7.642,0.057
Cr1 Fe1 Pd1 Ta1 V1 Zn1,8.333,11.5,172.167,-18.667,14.897,1.24,68.333,-0.06,0.133,1997.455,4.505,7.839,0.101
Al0.2 Cu1.86 Mn1.6 Si1.61 Ti0.5,7.054,22.721,139.146,-29.362,11.683,2.242,43.114,-0.011,0.022,1530.176,3.763,7.625,0.058
Ag1 Al1 Cr1 Nb1 Ni1,7,14.2,147.4,-6.4,13.381,1.484,57.06,-0.15,0.354,1765.28,4.484,6.946,0.043
Al1.88 Co1.47 Cr0.54 Li0.8 Mn1.4 Mo0.51,5.42,23.97,158.073,-6.41,13.964,1.616,50.811,-0.223,0.513,1439.025,3.614,6.793,0.177
Re1 W1,10.5,1,437,-4,5.763,1.415,169.5,-0.001,0.003,3577,8.4,7.872,0.106
Au1 Co1 Cr1 W1,7.5,10,244.25,3.75,11.526,1.095,94.5,-0.13,0.274,2245.082,5.297,7.934,0.251
Al1.13 Cr0.19 Mo1.62 Ni1.61 Ti1.22,6.106,14.969,195.6,-22.991,12.247,1.974,73.138,-0.116,0.24,1960.25,4.972,6.964,0.121
Au1 Co1 Cu1 Mo1 Nb1 Ni1,7.667,11.667,175.167,-7.222,14.897,1.15,64.05,-0.104,0.231,1972.85,5.085,7.722,0.17
Al1 Cr1 Mn1 V1 W1,6.2,11.2,217.2,-6.72,13.381,1.462,78.86,-0.187,0.425,2102.094,4.918,6.959,0.181
Al1.94 Co1.28 Fe1.34 Ti0.85,5.815,20.806,145.039,-24.161,11.184,2.059,54.4,-0.087,0.199,1506.573,4.066,7.041,0.037
Al1.32 Cr1.6 Fe0.79 Mn0.35 Mo1.8 Nb1.65 Ni1.13 Zr1.19,5.843,25.09,191.058,-19.247,16.638,1.466,71.169,-0.14,0.284,2127.953,5.387,6.921,0.129
Ag1 Al1 Au1 Be1 C1 Co1 Fe1 Y1,5.625,56.375,256.5,-31.938,17.288,1.861,72.912,-0.204,0.474,1794.841,4.246,8.171,0.373
Cr0.54 Fe1.8 Mg1.78 Mo0.61 Si1.53 Ta1.23 W1.76 Zr1.13,6.182,25.191,195.888,-14.216,16.66,1.913,76.165,-0.184,0.405,2252.616,5.477,7.643,0.275
B1 Ba1 Ni1 Ti1,4.75,100.75,194.75,-19.75,11.526,2.3,73.75,-0.29,0.684,1754.5,4.11,6.994,0.399
Au1 Fe1 Mn1 Ni1 Re1,8.2,12.4,230,2.4,13.381,1.132,79.6,-0.185,0.456,1970.866,4.668,8.016,0.211
Ag1.79 Al0.31 Co1.19 Cr0.62 Cu1.25 Fe0.27 Ni1.09 V0.82,8.986,13.76,154.549,8.227,16.067,1.1,59.196,-0.08,0.182,1609.698,3.924,7.444,0.027
Au1 Cr1 Fe1 Nb1,6,10,168.25,-12,11.526,1.072,65.5,-0.13,0.289,2019.582,4.938,7.664,0.281
Au1 Hf1 Mn1 Nb1 W1,7,16,187.2,-18.24,13.381,1.312,58.2,-0.261,0.784,2361.466,5.842,7.622,0.476
Co1 Cr1 Hf1 Nb1 Ni1 Re1 V1,7.714,22.857,218.286,-21.306,16.178,1.213,81.286,-0.143,0.338,2367.714,5.676,7.214,0.084
Al1 Co1 Fe1 Mn1 Pd1 Ti1,6.833,16.667,154.167,-30.778,14.897,1.688,51.05,-0.074,0.16,1633.42,3.948,7.395,0.109
Co1 Cr1 Nb1 Re1 Sn1 Ta1,7.333,21.333,215.333,-10.333,14.897,1.702,82.167,-0.182,0.409,2325.347,5.867,7.42,0.059
Al0.29 Co1.32 Cr0.98 Fe0.79 Ta0.85 V0.51,7.416,15.907,202.462,-14.81,14.13,1.215,78.445,-0.045,0.083,2126.875,5.013,7.418,0.04
Al0.2 Co0.64 Fe0.24 Mo0.13 Ni0.52 Ti0.58,7.177,16.416,178.55,-25.36,13.696,1.755,66.485,-0.054,0.112,1798.127,4.553,7.356,0.064
Co1 Cr1 Fe1 Mn1 Ti1 V1,6.5,15.833,190.167,-10.556,14.897,1.33,68,-0.07,0.153,1900.333,4.308,7.26,0.034
Co0.9 Cu1.64 Fe0.8 Hf1.68 Ta1.01,9.133,20.061,165.818,-14.117,12.981,1.318,55.125,-0.055,0.124,2122.674,5.206,7.549,0.134
Al1 Cr1 Fe1 Mn1 Ni1 Pd1 Zr1,6.857,28.286,167.571,-32.816,16.178,1.377,58.757,-0.12,0.269,1732.503,4.217,7.243,0.136
Pd1 Ti1 V1,6.333,7,121.667,-45.333,9.134,1.63,48.333,-0.008,0.016,1984.017,4.683,7.304,0.171
Au1 Fe1 Li1 Ni1 Pd1 V1 Zn1,7.286,15.857,122.429,-11.918,16.178,1.161,47.6,-0.153,0.279,1433.387,3.529,7.805,0.412
Al1 Ni1 Re1 Ti1 Zn1,8,15,191.4,-21.44,13.381,2.128,73.46,-0.207,0.554,1750.83,4.38,7.546,0.047
Co0.13 Cr1.32 Fe0.5 Ti0.25 W0.37,6.922,16.109,265.377,-4.161,10.953,1.23,106.272,-0.047,0.09,2282.233,4.914,7.208,0.124
Ag0.76 Al1.7 Cr1.82 Fe1.18 Nb1.89 Re0.84,6.411,14.291,186.35,-7.661,14.402,1.522,72.639,-0.191,0.463,2043.112,5.056,6.956,0.031
Al1 Au1 C1 Cr1 Cu1 Fe1 Ti1,5.857,53,276.286,-35.918,16.178,1.99,73.229,-0.191,0.453,1925.081,4.464,7.956,0.312
Ba1 Fe1 Ni1 Ti1,6,90.5,135,10,11.526,1.818,51.75,-0.184,0.35,1620,3.748,6.896,0.322
Fe1.22 Mn0.15 Nb0.16 Ni0.13 Zr1.96,5.732,21.262,142.033,-24.339,9.045,1.304,51.362,-0.082,0.205,2009.058,5.593,7.136,0.115
Al1 Ba1 Fe1 Mn1 Mo1 Ta1 V1 Zr1,5.5,102.625,153.625,7.125,17.288,1.561,53.412,-0.195,0.409,1970.059,4.842,6.863,0.236
Co1.78 Pd0.45 Ta1.61,9.117,10.555,189.044,-29.095,8.082,1.248,68.852,-0.011,0.019,2413.167,5.887,7.938,0.115
Cr1.72 Cu0.54 Mg0.8 Mo1.62 Ni1.37 Si1.26,6.337,17.618,209.012,-14.007,14.349,1.815,81.426,-0.113,0.202,1970.683,4.529,7.41,0.126
Al1 Au1 Cr1 Fe1 Mn1 Mo1,5.833,13.667,194.167,-7,14.897,1.403,67.55,-0.167,0.351,1779.467,4.213,7.402,0.249
Ag0.27 Al1.21 Cr1.54 Cu1.4 Ni0.84 Ti0.37,7.304,19.682,165.131,-5.079,13.631,1.568,64.789,-0.13,0.281,1579.165,3.834,7.011,0.041
B1 Co1 Cr1 Mo1 Sn1 Ti1,5.333,46,238.833,-18.667,14.897,2.22,90.333,-0.157,0.316,1939.847,4.838,7.37,0.091
Co1 Cr1 Fe1 Mo1 N1 Nb1 Re1 Zr1,6.75,63.25,248.75,-67.5,17.288,1.681,85.125,-0.14,0.307,2131.894,5.81,8.182,0.46
Au1.11 Co0.25 Cr1.16 Re0.36 Ti1.99,5.478,14.922,176.589,-24.376,11.552,1.842,68.534,-0.162,0.435,1963.669,4.634,7.492,0.313
Cr1.89 Cu0.84 Fe0.52 Mo0.74 Ni0.73 V0.21,7.613,9.897,235.815,3.227,13.371,1.053,92.66,-0.046,0.087,2041.655,4.525,7.228,0.062
Cu1 Fe1 Hf1 Zr1,7.75,17.25,144.75,-18.25,11.526,1.325,48.325,-0.079,0.182,1950.692,5.08,7.272,0.153
Co0.52 Fe0.63 Mo1.68 Pd1.5 W1.58,8.562,11.382,274.993,-7.354,12.56,1.224,103.662,-0.088,0.184,2623.646,6.148,7.772,0.059
Ag0.99 Al0.21 Fe1.05 Nb1.19 Ni1.26 V1.15 Zr1.06,7.013,21.894,136.355,-13.305,15.548,1.213,52.508,-0.074,0.154,1958.91,5.174,7.166,0.084
Al0.83 Co0.84 Fe0.72 Ni0.1,6.751,4.916,162.884,-14.448,10.149,1.701,60.831,-0.074,0.163,1500.651,4.017,7.246,0.029
Al1.5 Cr1.54 Fe0.53 Hf0.27 Mo1.02 Nb0.65 Ta1.84 Zr1.57,5.869,21.053,177.02,-17.267,16.186,1.622,66.59,-0.139,0.297,2301.551,5.861,6.95,0.114
Al1.4 Cr1.86 Cu0.82 Fe1.8 Ni0.58,6.901,6.916,188.752,-4.444,12.673,1.441,74.614,-0.098,0.194,1662.085,3.943,7.114,0.027
Cr1.51 Ni0.58 Pd1.76 Sc1.64 V1.66,6.389,22.425,151.621,-33.988,12.92,1.534,61.168,-0.106,0.252,1973.447,4.166,7.172,0.183
Co1.63 Cr1.09 Mn1.9 Mo1.13 Ni1.58 W1.22,8.104,9.51,258.499,-3.175,14.717,1.149,89.614,-0.094,0.208,2181.843,5,7.489,0.147
Co0.54 Cr0.35 Mn1.14 Nb1.42 Zr1.36,5.713,18.212,148.268,-14.439,12.427,1.242,45.632,-0.086,0.257,2130.657,5.564,7.01,0.055
Al1.58 Co1.44 Cr0.29 Mn0.19 Nb1.98,5.597,15.203,134.67,-25.249,11.221,1.701,48.32,-0.101,0.26,1895.367,5.176,6.855,0.03
Cu0.63 Fe1.62,8.84,1.44,188.32,10.483,4.93,1.036,72.564,-0.022,0.043,1684.096,4.059,7.853,0.002
Co0.25 Fe0.21 Pd0.48 Si1.61 Ti0.2 Y2.0,4.625,33.956,100.655,-74.625,11.546,2.645,47.065,-0.019,0.05,1768.851,4.465,7.275,0.267
Au1 Cr1 Cu1 Fe1 Ni1 Zr1,7.333,25,165.333,-17.556,14.897,1.103,63.55,-0.108,0.233,1757.017,4.44,7.649,0.263
Cr1 Cu1 Mo1 Ni1 Ta1 Zr1,7.667,22.5,203,-11.667,14.897,1.255,76.883,-0.083,0.172,2263.295,5.58,7.293,0.154
